year,total_catch_tonnes
1950,814
1951,1025
1952,992
1953,1058
1954,1083
1955,1214
1956,1223
1957,1315
1958,1247
1959,1473
1960,1411
1961,1594
1962,1405
1963,1341
1964,1371
1965,1128
1966,1105
1967,1049
1968,1100
1969,1107
1970,1224
1971,1296
1972,1158
1973,1150
1974,1113
1975,924
1976,1008
1977,990
1978,857
1979,833
1980,774
1981,879
1982,807
1983,1077
1984,1311
1985,1187
1986,1063
1987,1151
1988,1323
1989,1440
1990,1444
1991,1246
1992,1165
1993,1095
1994,1221
1995,1373
1996,1051
1997,1577
1998,1501
1999,1834
2000,1156
2001,1100
2002,1204
2003,1338
2004,1388
2005,1224
2006,2383
2007,2801
2008,2704
2009,2794
2010,2753
